0	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	94
	170	0.20273	Why are whaling ships always well-lit?	Free access to oil		
	 24	0.17456	Ishmael likens the right whale to a stoic philosopher and the sperm whale to what other kind of philosopher? 	Platonic	0	
	184	0.16285	What is it called when two or more whale ships meet at sea?	  A "gam"	72	
	 90	0.15074	What is the study of whales called?	Cetology	12	
	182	0.15074	What do whales eat?	Plankton and other brit		

1	According to Ishmael, what is the wealth of New Bedford built upon?	Whale oil	2

2	According to Ishmael, which whale produces the best, purest, and sweetest of oils?	Sperm whale	14
	 14	0.16749	How do live whales smell, according to Ishmael?	Pleasantly musky	2	

3	According to Ishmael, who are the only people besides Stubb that still eat whale meat?	The Eskimos	14
	182	0.19417	What do whales eat?	Plankton and other brit		
	 14	0.16912	How do live whales smell, according to Ishmael?	Pleasantly musky	2	

4	According to Peter Coffin, what is Queequeg out doing when Ishmael learns that Queequeg will be his roommate?	Selling shrunken heads	100
	153	0.22748	Who is Queequeg?	A native of Kokovoko in the Fiji islands and an expert harpooner. Despite his religion and customs, he is able to develop a bond with Ishmael. Queequeg accompanies Ishmael on the whaling voyage to the Pacific and dies when the ship sinks.		
	151	0.17419	Who is Peter Coffin?	The deathly-named innkeeper of the Spouter Inn at New Bedford.		
	 23	0.16196	Ishmael decides he likes the fact that Queequeg is a pagan because Queequeg lacks a Christian's what?	Hollow courtesies	153	

5	After his father's death, where was thirteen-year-old Herman Melville forced to find work?	At a bank	20
	 20	0.16606	How old was Herman Melville when he made his first sea voyage as a merchant sailor?	19	5	

6	After the whale carcass is cut loose from the ship, who are the "mourners" at its "funeral?"	Sharks and vultures	0

7	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80
	 80	0.50000	What is the name of Ahab's ship?	The Pequod		
	137	0.25000	Who is Captain Ahab?	The dark, brooding, peg-legged captain of the ship, the Pequod, and the protagonist of the novel. His entire motivation in the book is to find and kill Moby Dick, the whale that  caused him to lose his leg.	68	
	131	0.19166	Who are Ahab's mates?	Starbuck, Stubbs, Flask		
	 79	0.19166	What is the name of Ahab's harpooner?	Fedallah		
	 81	0.19166	What is the name of Ahab's wife?	She is nameless		
	 87	0.19166	What is the name of the ship in the story?	The Pequod		

8	Ahab claims that, "The path to my fixed purpose is laid" with what?	Iron rails	32

9	Because Pip's insane rantings move Ahab, Ahab gives Pip what?	The captain's quarters	63
	152	0.25598	Who is Pip?	The cabin boy on the Pequod. He is a young Negro who is very nervous and quiet by temperament and loses his mind when he has been abandoned in the sea for awhile.  He becomes half idiot-half prophet.		
	 63	0.17201	What experience catalyzed Pip and Ahab's close companionship?	Pip's near-drowning	9	
	 80	0.15848	What is the name of Ahab's ship?	The Pequod		
	 81	0.15848	What is the name of Ahab's wife?	She is nameless		
	131	0.15848	Who are Ahab's mates?	Starbuck, Stubbs, Flask		
	  7	0.15848	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80	

10	Before the Pequod had even left Nantucket, Ahab's fake leg had twisted around and very nearly done what?	Pierced his groin	13

11	During the first part of the voyage, what kind of sounds do the crew think they hear from the cargo hold?	Human beings	129

12	For what were whales primarily hunted?	Oil	98
	 98	0.25357	What type of whale are they hunting?	Sperm whales	12	
	 52	0.16610	What does Ishmael decide he needs to do after seeing how dangerous a whale hunt can be?	Rewrite his will	183	
	119	0.16610	When the crew first hunt a whale, what nearly crushes Queequeg's boat?	The ship		
	 25	0.16610	Ishmael reflects that traveling around the world to hunt whales really amounts to what?	Going in circles	12	
	132	0.16107	Who are the "five dusky phantoms" that appear when the first whale hunt begins?	Ahab's secret whaling crew	189	
	182	0.15074	What do whales eat?	Plankton and other brit		

13	From what is Ahab's false leg made?	A whale's jawbone	68
	 68	0.23046	What is Captain Ahab's artificial leg made of?	Ivory	13	
	 80	0.15074	What is the name of Ahab's ship?	The Pequod		
	 81	0.15074	What is the name of Ahab's wife?	She is nameless		
	131	0.15074	Who are Ahab's mates?	Starbuck, Stubbs, Flask		
	  7	0.15074	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80	
	 79	0.15074	What is the name of Ahab's harpooner?	Fedallah		

14	How do live whales smell, according to Ishmael?	Pleasantly musky	2
	147	0.19137	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	71	
	  3	0.16912	According to Ishmael, who are the only people besides Stubb that still eat whale meat?	The Eskimos	14	
	  2	0.16749	According to Ishmael, which whale produces the best, purest, and sweetest of oils?	Sperm whale	14	

15	How does Queequeg impress the men hiring the crew for the Pequod?	Harpooning a tiny target	16
	 17	0.16610	How does the Pequod sink?	She is rammed by Moby Dick. 	92	
	164	0.15319	Who owns the Pequod?	Bildad and Peleg	135	
	 76	0.15319	What is the Pequod named after?	An extinct Massachusetts Indian tribe		

16	How does Queequeg shave?	With a harpoon	178
	111	0.23046	When Queequeg falls ill, what does he do?	Have his coffin made		
	 22	0.20148	In what state does Ishmael meet Queequeg?	Massachusetts	4	
	 57	0.16610	What does Queequeg do when the bumpkin that was mocking him falls into the ocean?	Dives in after him		

17	How does the Pequod sink?	She is rammed by Moby Dick. 	92
	164	0.24347	Who owns the Pequod?	Bildad and Peleg	135	
	 76	0.24347	What is the Pequod named after?	An extinct Massachusetts Indian tribe		
	128	0.23046	Which characters survive the Pequod's sinking?	Only Ishmael		
	115	0.23046	When does the Pequod set sail?	Christmas Day		
	 92	0.23046	What keeps Ishmael afloat after the Pequod sinks?	A coffin	128	
	 58	0.18125	What does the Delight drop into the water as the Pequod passes by?	A dead body		

18	How is the Pequod decorated?	With whale bones	179
	164	0.30957	Who owns the Pequod?	Bildad and Peleg	135	
	 76	0.30957	What is the Pequod named after?	An extinct Massachusetts Indian tribe		
	 36	0.19166	What are the mates' names on the Pequod?	Starbuck, Stubbs, Flask	162	
	110	0.17840	When Queequeg decorates the coffin that he'd had made, what does he use for the decoration?	His own tattoos		
	 17	0.15074	How does the Pequod sink?	She is rammed by Moby Dick. 	92	
	162	0.15074	Who is the second mate on the Pequod?	Stubb	84	

19	How many of the Pequod's crew survive their encounter with Moby Dick?	One	128
	149	0.18717	Who is Moby Dick?	A giant and elusive white sperm whale. He serves as Captain Ahab's antagonist in the novel. Ahab's goal in life is to kill Moby Dick for having bitten off his leg.		
	164	0.15319	Who owns the Pequod?	Bildad and Peleg	135	
	 76	0.15319	What is the Pequod named after?	An extinct Massachusetts Indian tribe		

20	How old was Herman Melville when he made his first sea voyage as a merchant sailor?	19	5
	  5	0.16606	After his father's death, where was thirteen-year-old Herman Melville forced to find work?	At a bank	20	

21	In what decade did historians rediscover and promote the previously ignored Moby Dick as a seminal work of American literature?	1920's	123

22	In what state does Ishmael meet Queequeg?	Massachusetts	4
	 16	0.20148	How does Queequeg shave?	With a harpoon	178	
	178	0.20148	With what does Queequeg sleep?	His harpoon	16	
	147	0.18337	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	71	
	111	0.16756	When Queequeg falls ill, what does he do?	Have his coffin made		
	153	0.15900	Who is Queequeg?	A native of Kokovoko in the Fiji islands and an expert harpooner. Despite his religion and customs, he is able to develop a bond with Ishmael. Queequeg accompanies Ishmael on the whaling voyage to the Pacific and dies when the ship sinks.		
	180	0.15350	With whom does Ishmael share a bed at the Spouter-Inn?	Queequeg	22	

